"id","status","date","country","country_code","place","type","sentiment","fav","retweet","lang","source"
1254995208888094721,"Xmas in April covid19 edition @santoboulder #burrito #xmas #smotheredburrito #greenchile #redchile #505inthe303 #nm… https://t.co/fmsHrViQgb","04/28/20","United States","US","Boulder","city",0,1,0,"en","Instagram"
1254995485452050438,"@QUORA a sample of #Homework Topics Q&amp;A -- ask experts

#schools #collegestudents #university #students… https://t.co/mqpLqlnngD","04/28/20","United States","US","Mountain View","city",0,0,0,"en","Instagram"
1254995705527177216,"""There is nothing more beautiful than someone who goes out of their way to make life beautiful for others"" - Unknow… https://t.co/G8EcvVzcNL","04/28/20","Nigeria","NG","Ikeja","city",0.525,1,0,"en","Instagram"
1254995868333289475,"Another one in the books today for an AMAZING client! Appreciate all of the parties that were involved in this one,… https://t.co/X6pn9QYKGK","04/28/20","United States","US","Jonesboro","city",0.28750000000000003,0,0,"en","Instagram"
1254996123514789893,"#gvkemri to fight against #covid19 @ GVK Emri Office https://t.co/Zw5efOpwVQ","04/28/20","India","IN","Medchal","city",0,0,0,"en","Instagram"
1254996305082036224,"Happy Birthday Mom! 😇 You wouldn’t believe what’s happening down here! #bestmom #bestfriend #happybirthday #1son… https://t.co/Q1ItVYsNwJ","04/28/20","United States","US","Sands Point","city",0.31397306397306396,0,0,"en","Instagram"
1254996436162277377,"Tuesday’s office antics. It’s a strange marriage being stuck with one cameraman 🤣 wouldn’t want to be stuck with an… https://t.co/bX7YEQfNyK","04/28/20","Australia","AU","Brisbane","city",-0.05,1,0,"en","Instagram"
1254997859285508096,"My Corona Cutie @ Cary, North Carolina https://t.co/W5gcn2gHjV","04/28/20","United States","US","Cary","city",0,0,0,"en","Instagram"
1254998021722390531,"Moody skies this morning
#walknotts #walking #hiking #commute #work #cloudporn #sky #moody #bnw #bnwart #bnwlove… https://t.co/2cX0swf0Xd","04/28/20","United Kingdom","GB","Sandiacre","city",0,0,0,"en","Instagram"
1254998196817997824,"Strange #statue i don't know wtf this is 🤣🤣🤣🤣🤣 #stayhome #covid19 @ Ansan Park https://t.co/Q48SgBKq0S","04/28/20","United States","US","Las Vegas","city",-0.275,0,0,"en","Instagram"
1254998295879004160,"I had known that coronavirus was not affect me on training for @thesfmarathon. Today, this event will postpone to N… https://t.co/fRD8tFT3LG","04/28/20","United States","US","San Francisco","city",-0.21666666666666667,0,0,"en","Instagram"
1254998815750475777,"2020 #UK #Jobs statistics: 28-04-2020 collated by @michael75lewis:

Jobs &amp; apprenticeships cut / at risk 9,733,730… https://t.co/svW3TacPID","04/28/20","United Kingdom","GB","Gainsborough","city",-0.125,0,1,"en","Hootsuite Inc."
1254998852056350720,"2020 #UK #Jobs statistics: 28-04-2020
collated by @michael75lewis:

Jobs &amp; apprenticeships cut / at risk 9,733,730… https://t.co/RU9BUKSZcX","04/28/20","United Kingdom","GB","Gainsborough","city",-0.125,0,1,"en","Hootsuite Inc."
1254999586302820353,"Isolation dinners continue with Isabel’s roast chicken. I hope she approves.  #Dinner #Chicken #Isolation… https://t.co/TESiRpGIA5","04/28/20","United States","US","Queens","city",-0.6,0,0,"en","Instagram"
1254999978071785472,"See you Post Covid19... #Stayhome #staysafe @ My Happy Place https://t.co/06JAiAirdy","04/28/20","Kenya","KE","Nairobi","city",0.8,0,0,"en","Instagram"
1255000055955599360,"#LEGO 10265 Creator Expert #FordMustang Bag 1 (LEGO Expert = CHALLENGING) Perfect for #COVID19 Stay at Home @ Fairc… https://t.co/X24TG0T0IE","04/28/20","United States","US","West Virginia","admin",0.75,0,0,"en","Instagram"
1255000259853500416,"Workplace attire. The orange does wonders for my eyes don't you think?

In all seriousness was not expecting the an… https://t.co/E0c4rbo0g4","04/28/20","Sri Lanka","LK","Sri Lanka","country",0.5416666666666666,1,2,"en","Instagram"
1255001354474381313,"#Repost @ditjen_imigrasi
...
Here are some reminders for you during the pandemic. Foreigners staying in Indonesia a… https://t.co/br1GywbOu6","04/28/20","Indonesia","ID","Tanjung Priok","city",0,1,0,"en","Instagram"
1255002564720037891,"#aljazeera #Trump resumes attacks on China over #Coronavirus: Live updates https://t.co/NgUtBwjIUV","04/28/20","Poland","PL","Warsaw","city",0.13636363636363635,0,0,"en","Tweetbot 3 for iΟS"
1255002569916612608,"Jealous down this is the best #coronavirus song ever made #covid19 awareness at its best . You can get it on the li… https://t.co/m8IlBFlMrU","04/28/20","Malawi","MW","Malawi","country",0.6148148148148148,0,0,"en","Instagram"
1255002842982744064,"The most cowardly and selfish dictator Kim Jong Un is not dead or even sick according to our source. He is hiding o… https://t.co/YePhFS8hlw","04/28/20","Australia","AU","Sydney","city",-0.15357142857142858,0,0,"en","Instagram"
1255003497940037633,"I was there🤣🤣🤣
#energy #lockDownSouthAfrica #lockdown #HighRiskCovid19 #stayhome #coronavirus #covid19SA… https://t.co/UT5Sbamjd0","04/28/20","South Africa","ZA","Cape Town","city",0,0,0,"en","Instagram"
1255004125219168257,"Did you know Airestec is authorized to open and provide essential decontamination/disinfection services during the… https://t.co/CSEQ2AIzEF","04/28/20","Malaysia","MY","Kuala Lumpur","city",0.03333333333333333,0,1,"en","Instagram"
1255004404723462146,"COVID-19 update 
This MTA BUS didn't pick me up at this stop again same driver  couldn't get the bus number Q2 @ 17… https://t.co/40o9nwpV8k","04/28/20","United States","US","Queens","city",0,0,0,"en","Instagram"
1255005558500982784,"Picked up some LUNCH today from one of the best 🇮🇹 Hot Tables in the GTA called CALABRIA BAKERY. Needed one of thei… https://t.co/C6IF2Im2Og","04/28/20","Canada","CA","Markham","city",0.6166666666666667,0,0,"en","Instagram"
1255005591816351744,"… nice to see my pic running 6 columns on the sport back page of The Australian yesterday … and nice little ‘soft’… https://t.co/7KS2p5BHTV","04/28/20","Australia","AU","Cairns","city",0.17321428571428574,0,0,"en","Instagram"
1255006251676831744,"When the #Cornerman confronts #COVID19 #Pneumonia #coronavirus #cornermanmotivation #cornerman #juanjeremy… https://t.co/GxexiKXJoi","04/28/20","United States","US","Brooklyn","city",0,3,1,"en","Instagram"
1255006661720240129,"The SEXIEST Covid-19 news I've heard so far. Hey, at least she knows where she's CUMMING from. 😂 @ Los Angeles, Cal… https://t.co/My3dLA2FCJ","04/28/20","United States","US","Los Angeles","city",-0.09999999999999999,0,0,"en","Instagram"
1255006884844777472,"Sooooo true! Little fucker. #covid #2020 #covidcomedy #Covid19 #covid_19 @ Toronto, Ontario https://t.co/CCrkd3thV2","04/28/20","Canada","CA","Toronto","city",0.125,1,0,"en","Instagram"
1255008011380314112,"""Hey guys it's Chad from That One Brewery isn't this Coronavirus thing crazy ikr so anyway remember that super limi… https://t.co/2ReyKS0sHZ","04/28/20","United States","US","Carlsbad","city",-0.10761904761904764,0,0,"en","Instagram"
1255008487651921921,"Is digging the street essential work during coronavirus lockdown? I didn’t see any broken water mains. Looks like s… https://t.co/VX1bGbne94","04/28/20","Japan","JP","Shinjuku-ku","city",-0.2,0,0,"en","Instagram"
1255008728711000065,"https://t.co/q1bIRBjDj8 From Texas Standard : The annual SXSW festivals and conferences were among the first major… https://t.co/Net0PpQSqB","04/28/20","United States","US","Austin","city",0.128125,0,0,"en","dlvr.it"
1255009123344822273,"When the intent is right, world aligns.
@bosonmachines pmo__india_ forbes theunknownvariable cmomaharashtra_… https://t.co/gue9EDbRbb","04/28/20","India","IN","Mumbai","city",0.2857142857142857,1,0,"en","Instagram"
1255009322003845127,"Reversible Kinga Face Masks are here in a Limited Edition. Picture shows the 2 looks of one mask...… https://t.co/1KMZopSeAW","04/28/20","United States","US","Los Angeles","city",-0.07142857142857142,0,0,"en","Instagram"
1255009363573354496,"India: IIT-K, SGPGIMS develop alternative to N-95 masks: Kanpur: The Indian Institute of Technology Kanpur (IIT-K)… https://t.co/77HJ2f7Fje","04/28/20","Canada","CA","Brampton","city",0,0,1,"en","dlvr.it"
1255009411942227968,"COVID-19: CHAIRMAN DAINI CHARGES ALL TO MASK-UP-LAGOS,  REITERATES COMMITMENT TOWARDS HEALTH, SECURITY UPLIFTMENT I… https://t.co/EXEJ5JhDJZ","04/28/20","Nigeria","NG","Lagos","city",0.8,0,0,"en","Instagram"
1255009552472305665,"What I did today via introverts_are_awesome Haha #notreally I did do some #Yoga &amp; #Meditation but yeah .....this is… https://t.co/ll3LFnJZKu","04/28/20","United States","US","Torrance","city",0.1,1,0,"en","Instagram"
1255009757582241792,"CAPITALISM
A gift to celebrate the end of the # lockdown may11
Warning: Photo taken before Coronavirus Lockdown 
th… https://t.co/hft2FMFQwq","04/28/20","France","FR","Paris","city",0,0,0,"en","Instagram"
1255009864503291904,"Coronavirus death toll rises at Royal #Stoke and County Hospitals https://t.co/UGIl6ivhrO https://t.co/d8HEngvQSu","04/28/20","United Kingdom","GB","Stoke-on-Trent","city",0,0,0,"en","dlvr.it"
1255010101267701760,"Q U A R A N T I N E.  Part 5

Photo by bebebearbear 

#quarantine #quarantinelife #quarantineandchill #quarentine… https://t.co/5fNxIk4esc","04/28/20","Malaysia","MY","Tioman","city",0,0,0,"en","Instagram"
1255010946919120897,"Mors Thriumphans by Leonard Bramer, 17th century  #artistspotlight🔦 #pandemic2020 #relative #deathstroke… https://t.co/nadot27yrm","04/28/20","United States","US","San Francisco","city",0,0,0,"en","Instagram"
1255011013575016449,"Ok Guys, the COVID-19 lockdown period isn’t over yet but we’re kinda sick &amp; tired of this whole thing. We’ll end ou… https://t.co/2IuqavOWfX","04/28/20","Denmark","DK","Copenhagen","city",-0.12732426303854877,2,1,"en","Instagram"
1255011543315435521,"Each day I'm going to post a pic of something I really miss and won't ever take for granted again.

What more can I… https://t.co/LWgDGCDqRz","04/28/20","Republic of the Philippines","PH","Camiling","city",0.35,1,0,"en","Instagram"
1255012082816335872,"At Work: London in lockdown 👻
Also see @rodwey2004
.
.
Visit my website https://t.co/7vL7LIQLZV
.
.
#desertedplaces… https://t.co/hZAAxgG7nW","04/28/20","United Kingdom","GB","City of London","city",0,0,0,"en","Instagram"
1255012379215056896,"Fighting Stigma : NHS chief says UK is investigating as a 'matter of urgency' after reports of children falling ill… https://t.co/APYeerQcLH","04/28/20","Canada","CA","Varennes","city",-0.4866666666666666,0,0,"en","dlvr.it"
1255012413948203008,"Check out the latest #episode on #SI #Counseling #podcast (aka SIC Podcast) that addresses #FAQ about #covid19 and… https://t.co/rGbLHsTprK","04/28/20","United States","US","San Francisco","city",0.5,2,0,"en","Instagram"
