"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LRHUTTFE","Harmonised unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019",,,"0","Units",,,5.193929,,
"AUS","Australia","LRHUTTFE","Harmonised unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019",,,"0","Units",,,5.149611,,
"AUS","Australia","LRHUTTFE","Harmonised unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019",,,"0","Units",,,5.02947,,
"AUS","Australia","LRHUTTFE","Harmonised unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020",,,"0","Units",,,5.088331,,
"AUS","Australia","LRHUTTMA","Harmonised unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019",,,"0","Units",,,5.267779,,
"AUS","Australia","LRHUTTMA","Harmonised unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019",,,"0","Units",,,5.313457,,
"AUS","Australia","LRHUTTMA","Harmonised unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019",,,"0","Units",,,5.298709,,
"AUS","Australia","LRHUTTMA","Harmonised unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020",,,"0","Units",,,5.307557,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019",,,"0","Units",,,5.233134,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019",,,"0","Units",,,5.236217,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019",,,"0","Units",,,5.17161,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020",,,"0","Units",,,5.203813,,
"AUT","Austria","LRHUTTFE","Harmonised unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019",,,"0","Units",,,4.5,,
"AUT","Austria","LRHUTTFE","Harmonised unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019",,,"0","Units",,,4.3,,
"AUT","Austria","LRHUTTFE","Harmonised unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019",,,"0","Units",,,4.166667,,
"AUT","Austria","LRHUTTFE","Harmonised unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020",,,"0","Units",,,4.4,,
"AUT","Austria","LRHUTTMA","Harmonised unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019",,,"0","Units",,,4.6,,
"AUT","Austria","LRHUTTMA","Harmonised unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019",,,"0","Units",,,4.633333,,
"AUT","Austria","LRHUTTMA","Harmonised unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019",,,"0","Units",,,4.333333,,
"AUT","Austria","LRHUTTMA","Harmonised unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020",,,"0","Units",,,4.633333,,
